City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
zhangjiakou,0,CN,1604430045,71,40.81,114.88,33.13,1.63
gonzalez,1,US,1604430045,29,30.58,-87.29,72.0,5.68
halmstad,0,SE,1604430045,81,56.67,12.86,50.0,10.29
punta gorda,20,US,1604430045,47,26.93,-82.05,79.0,18.34
uyuni,0,BO,1604430046,24,-20.46,-66.83,62.94,5.55
kununurra,35,AU,1604430046,88,-15.77,128.73,75.2,2.24
tshikapa,100,CD,1604430046,90,-6.42,20.8,73.29,1.3
nelson bay,24,AU,1604430046,93,-32.72,152.15,51.01,5.35
tortoli,5,IT,1604430047,72,39.93,9.66,64.4,10.29
santana,40,BR,1604430047,63,-0.06,-51.18,93.2,4.7
guisa,75,CU,1604430047,94,20.25,-76.54,77.0,16.11
san patricio,20,US,1604430047,50,28.02,-97.52,79.0,5.82
limulunga,100,ZM,1604430047,78,-15.1,23.14,71.17,2.06
mwinilunga,74,ZM,1604430047,65,-11.74,24.43,69.49,3.69
haines junction,100,CA,1604430048,76,60.75,-137.51,-11.2,1.12
caratinga,92,BR,1604429829,83,-19.79,-42.14,66.69,6.76
hirara,33,JP,1604430048,73,24.8,125.28,72.55,30.82
evensk,100,RU,1604430048,94,61.95,159.23,28.09,20.54
balkanabat,28,TM,1604430049,20,39.51,54.37,70.29,13.35
mabaruma,100,GY,1604430049,93,8.2,-59.78,79.72,4.92
de-kastri,100,RU,1604430049,93,51.47,140.78,26.26,10.6
almaznyy,40,RU,1604429755,87,48.04,40.05,55.4,11.18
beringovskiy,100,RU,1604430049,85,63.05,179.32,18.91,8.99
shemonaikha,95,KZ,1604430049,96,50.63,81.91,26.01,5.57
gizo,100,SB,1604430049,77,-8.1,156.84,82.38,8.79
saint-denis,0,FR,1604430050,75,48.92,2.33,46.99,8.05
vila,20,PT,1604430050,80,42.03,-8.16,46.99,7.0
carnarvon,0,AU,1604430050,82,-24.87,113.63,68.0,17.22
muravlenko,100,RU,1604430050,98,63.79,74.52,23.32,13.76
talnakh,0,RU,1604430050,76,69.49,88.4,-7.6,4.47
adre,1,TD,1604430051,22,13.47,22.2,81.16,14.76
akdagmadeni,93,TR,1604430051,59,39.66,35.88,46.11,2.42
scarborough,100,GB,1604429840,82,54.28,-0.4,43.0,1.99
bay city,1,US,1604430051,53,43.59,-83.89,59.0,12.75
preeceville,0,CA,1604430052,57,51.95,-102.67,50.68,8.72
oranjestad,40,AW,1604429988,79,12.52,-70.03,86.0,12.75
pedro ii,98,BR,1604430052,65,-4.42,-41.46,80.92,4.88
saint-gaudens,75,FR,1604430052,93,43.08,0.67,51.01,2.24
killybegs,75,IE,1604430052,76,54.63,-8.45,48.2,17.22
ziyang,98,CN,1604430052,60,29.25,117.85,53.47,4.76
quesnel,90,CA,1604430004,87,53.0,-122.5,44.6,9.17
kralendijk,20,BQ,1604430053,62,12.15,-68.27,87.8,18.34
yar-sale,100,RU,1604430053,98,66.83,70.83,25.07,8.25
constitucion,13,CL,1604429755,64,-35.33,-72.42,63.09,12.46
isla mujeres,90,MX,1604430053,74,21.23,-86.73,82.4,13.87
lorengau,93,PG,1604430053,75,-2.02,147.27,81.1,2.73
auki,98,SB,1604430053,84,-8.77,160.7,77.4,3.27
mutoko,15,ZW,1604430054,51,-17.4,32.23,73.53,5.26
ulaangom,100,MN,1604430054,95,49.98,92.07,25.92,1.25
namibe,0,AO,1604430054,67,-15.2,12.15,70.77,10.89
nizhniy odes,100,RU,1604430054,87,63.64,54.86,34.9,14.03
san cristobal,40,VE,1604430045,58,7.77,-72.22,87.8,11.41
katsuura,75,JP,1604430054,63,35.13,140.3,62.6,14.99
xam nua,100,LA,1604430054,91,20.42,104.04,60.76,2.3
emmaus,40,US,1604430055,61,40.54,-75.5,55.99,12.75
gloucester,20,GB,1604429821,75,51.87,-2.24,42.8,3.36
xinyu,100,CN,1604430056,53,27.8,114.93,58.39,6.2
asfi,100,MA,1604430056,85,32.3,-9.24,67.64,16.26
birjand,0,IR,1604430057,23,32.87,59.22,50.0,5.88
chernoyerkovskaya,98,RU,1604430057,87,45.43,37.77,48.2,8.95
lagunas,97,PE,1604430057,46,-5.23,-75.68,91.92,1.41
kalach-na-donu,0,RU,1604430057,87,48.69,43.53,44.6,6.71
tura,0,IN,1604430057,70,25.52,90.22,67.14,0.85
coihaique,40,CL,1604430058,45,-45.58,-72.07,68.0,6.93
kenora,20,CA,1604429943,53,49.82,-94.43,51.8,6.93
mildura,75,AU,1604430058,35,-34.2,142.15,73.4,6.93
bluffton,1,US,1604430058,25,32.24,-80.86,66.2,5.82
prince rupert,90,CA,1604430031,100,54.32,-130.32,42.8,10.29
itarema,53,BR,1604429769,67,-2.92,-39.92,84.16,15.86
wajima,100,JP,1604430059,67,37.4,136.9,50.09,17.31
mazyr,0,BY,1604430059,95,52.05,29.25,41.23,5.41
juneau,75,US,1604430059,92,58.3,-134.42,30.0,4.7
mecca,0,SA,1604430018,81,21.43,39.83,78.04,7.07
escarcega,91,MX,1604430059,62,18.61,-90.75,78.87,7.34
beckley,1,US,1604430059,32,37.78,-81.19,59.0,10.29
argir,99,FO,1604430059,75,62.0,-6.77,42.8,26.4
tual,100,ID,1604430059,77,-5.67,132.75,81.72,8.46
tilichiki,100,RU,1604430060,99,60.47,166.1,35.15,20.83
urengoy,100,RU,1604430060,96,65.97,78.37,11.03,3.76
nantucket,75,US,1604430060,42,41.28,-70.1,46.4,20.8
moron,75,AR,1604430060,53,-34.65,-58.62,73.4,12.75
pochutla,40,MX,1604430060,62,15.74,-96.47,89.01,8.05
fukue,0,JP,1604430060,71,32.69,128.84,54.68,25.66
kargopol,100,RU,1604430060,88,61.51,38.95,45.23,11.34
houston,1,US,1604429723,21,29.76,-95.36,75.0,3.65
ler,28,SS,1604430061,73,8.3,30.14,78.85,5.46
esna,0,EG,1604430061,41,25.29,32.55,77.0,3.36
rio gallegos,75,AR,1604429974,54,-51.62,-69.22,59.0,13.87
kloulklubed,75,PW,1604430061,88,7.04,134.26,78.8,12.77
abu dhabi,0,AE,1604430062,58,24.47,54.37,82.4,4.7
maceio,20,BR,1604430062,62,-9.67,-35.74,87.8,9.17
mandalgovi,0,MN,1604430062,77,45.76,106.27,25.74,9.4
oistins,40,BB,1604430062,70,13.07,-59.53,86.0,21.92
pedro betancourt,90,CU,1604430063,83,22.73,-81.29,77.0,14.99
ucluelet,90,CA,1604429901,100,48.93,-125.55,54.0,2.24
apricena,40,IT,1604430063,87,41.78,15.44,59.0,3.36
valparaiso,40,CL,1604429936,72,-33.04,-71.63,62.6,6.93
sherghati,20,IN,1604430063,77,24.57,84.78,64.4,4.41
lomovka,90,RU,1604430064,100,53.92,58.37,28.4,8.95
yumen,18,CN,1604430064,65,40.28,97.2,36.32,12.3
hualmay,100,PE,1604430064,65,-11.1,-77.61,69.03,9.04
vilhena,75,BR,1604430064,46,-12.74,-60.15,89.6,3.36
yaan,99,NG,1604430064,48,7.38,8.57,79.88,4.7
margate,0,GB,1604430064,66,51.38,1.39,51.01,3.0
lahaina,40,US,1604429824,88,20.88,-156.68,80.6,10.29
san juan,0,AR,1604430065,10,-31.54,-68.54,95.54,7.52
clinton,20,US,1604429771,47,42.59,-82.92,59.0,8.05
laela,43,TZ,1604430065,45,-8.57,32.05,71.37,4.63
birao,58,CF,1604430065,36,10.28,22.79,81.03,3.62
saldanha,8,ZA,1604430065,77,-33.01,17.94,64.4,4.7
tessalit,100,ML,1604430065,17,20.2,1.01,79.9,8.08
itaituba,20,BR,1604430065,56,-4.28,-55.98,95.0,3.38
nkayi,100,CG,1604430066,88,-4.18,13.29,76.82,5.66
novi pazar,100,RS,1604429885,77,43.14,20.51,56.44,2.08
ladario,0,BR,1604430066,36,-19.0,-57.6,95.0,8.05
kuminskiy,100,RU,1604430066,93,58.67,66.57,28.89,9.35
wuchang,0,CN,1604430066,75,44.91,127.15,22.55,9.82
lavrentiya,100,RU,1604430067,90,65.58,-171.0,19.76,16.4
fort nelson,90,CA,1604429770,85,58.81,-122.7,10.4,6.93
zdvinsk,100,RU,1604430067,94,54.7,78.66,28.92,8.99
kijang,0,KR,1604430067,55,35.24,129.21,39.2,5.82
bonavista,100,CA,1604430067,60,48.65,-53.11,45.0,12.75
gourcy,97,BF,1604430067,19,13.22,-2.35,85.89,7.2
bousso,0,TD,1604430067,33,10.48,16.71,84.25,5.82
san luis,0,AR,1604430068,15,-33.3,-66.34,89.74,7.96
pavilosta,0,LV,1604430068,87,56.89,21.19,51.8,16.11
sunnyside,1,US,1604429855,75,46.32,-120.01,42.8,4.81
el alto,0,PE,1604430068,57,-4.27,-81.21,77.0,16.11
maniwaki,86,CA,1604430068,54,46.38,-75.97,28.4,4.7
cabedelo,40,BR,1604429936,62,-6.98,-34.83,84.2,12.75
lata,0,PT,1604430069,74,40.16,-8.33,59.0,1.99
wanlaweyn,32,SO,1604430069,84,2.62,44.89,77.97,8.61
charters towers,26,AU,1604429783,84,-20.1,146.27,67.87,4.41
manokwari,100,ID,1604430069,73,-0.87,134.08,79.14,4.61
thinadhoo,100,MV,1604430069,71,0.53,72.93,82.94,5.7
nampa,1,US,1604429786,35,43.54,-116.56,57.2,7.7
asau,100,RO,1604430069,98,46.43,26.4,46.99,0.87
heihe,0,CN,1604430070,52,50.24,127.49,15.8,8.95
lerwick,40,GB,1604430070,76,60.15,-1.15,48.2,28.86
shache,0,CN,1604430070,79,38.42,77.24,35.85,2.19
da lat,98,VN,1604430070,94,11.95,108.44,55.45,2.95
atambua,94,ID,1604430067,84,-9.11,124.89,74.88,2.01
muret,75,FR,1604430070,93,43.33,1.25,52.0,9.17
bad windsheim,90,DE,1604430070,100,49.5,10.42,52.0,9.17
churapcha,6,RU,1604430071,89,62.0,132.43,-11.6,4.38
kenema,100,SL,1604430071,93,7.88,-11.19,75.38,3.78
azul,1,AR,1604430071,56,-36.78,-59.86,72.5,12.1
salisbury,20,GB,1604430071,70,51.07,-1.8,44.6,11.41
shakawe,100,BW,1604430071,68,-18.37,21.85,71.56,9.6
seymchan,100,RU,1604430072,93,62.88,152.43,5.77,9.44
omsukchan,100,RU,1604429781,94,62.53,155.8,12.15,4.59
saint-georges,20,GD,1604429842,70,12.06,-61.75,86.0,19.46
montrose,1,US,1604430072,40,38.42,-108.27,61.0,8.05
pandan,100,PH,1604430072,91,14.05,124.17,77.07,2.8
rocha,0,UY,1604430072,61,-34.48,-54.33,65.37,12.73
epe,96,NG,1604430072,87,6.58,3.98,79.11,6.24
didsbury,90,GB,1604429785,93,53.42,-2.23,44.01,3.36
lamu,20,KE,1604430073,83,-2.27,40.9,78.8,4.7
siguiri,100,GN,1604430073,37,11.67,-9.5,83.8,3.15
novovasylivka,98,UA,1604430073,88,46.83,35.75,49.57,5.61
dukat,100,RU,1604430073,95,62.55,155.55,10.58,4.34
nemuro,100,JP,1604430073,77,43.32,145.57,45.28,19.69
suntar,60,RU,1604430074,96,62.14,117.63,12.61,4.83
waipawa,100,NZ,1604430074,88,-41.41,175.52,62.6,10.29
mananjary,37,MG,1604430074,81,-21.22,48.33,70.0,7.11
celestun,52,MX,1604430074,69,20.87,-90.4,78.42,16.02
kiama,44,AU,1604430074,77,-34.68,150.87,60.01,10.31
ondarroa,100,ES,1604430074,67,43.32,-2.42,55.99,5.01
otavi,2,NA,1604430075,16,-19.65,17.33,80.73,15.88
xinqing,77,CN,1604430075,86,48.23,129.5,16.54,9.89
malanje,28,AO,1604430075,86,-9.54,16.34,69.06,5.23
formosa do rio preto,37,BR,1604430075,68,-11.05,-45.19,81.97,2.89
tamandare,0,BR,1604430075,71,-8.76,-35.1,81.09,12.88
maniitsoq,100,GL,1604430075,92,65.42,-52.9,36.9,41.96
banjar,35,ID,1604430076,70,-8.19,114.97,77.2,2.55
half moon bay,1,US,1604430076,76,37.46,-122.43,66.0,8.05
